id	dilemma_key	choice_key	payload_key	value	target_key
#cdir_events_dilemma_payloads_tables;0;db/cdir_events_dilemma_payloads_tables/wolfy_chaos_confederation					
753159436	wolfy_roc_confederation_generic	FIRST	TEXT_DISPLAY	LOOKUP[wwc_confederate_woc_defeated]	default
1172653961	wolfy_roc_confederation_generic	FIRST	FORM_CONFEDERATION		default
564487256	wolfy_roc_confederation_generic	SECOND	TEXT_DISPLAY	LOOKUP[wcc_vassalize_woc_defeated]	default
164823924	wolfy_roc_confederation_generic	THIRD	TEXT_DISPLAY	LOOKUP[dummy_enemy_leader_killed]	default
933052916	wolfy_roc_confederation_generic	FOURTH	DIPLOMATIC_STANDING	AMOUNT[3]	default
154783256	wolfy_roc_confederation_generic_no_execution	FIRST	TEXT_DISPLAY	LOOKUP[wwc_confederate_woc_defeated]	default
1334329567	wolfy_roc_confederation_generic_no_execution	FIRST	FORM_CONFEDERATION		default
1234829667	wolfy_roc_confederation_generic_no_execution	SECOND	TEXT_DISPLAY	LOOKUP[wcc_vassalize_woc_defeated]	default
498246325	wolfy_roc_confederation_generic_no_execution	THIRD	DIPLOMATIC_STANDING	AMOUNT[3]	default
